n_carbon,cutoff,batch_size,opt_batch_size,burnin/t_step,opt/t_step,model
24,3.0,512,64,1.2505023293197155,2.59209393709898,FiRE
24,3.0,1024,8,2.469684422016144,5.989479918032885,FiRE
24,3.0,1024,16,2.4710332229733467,5.6375789269804955,FiRE
24,3.0,1024,32,2.318030223250389,5.2235912047326565,FiRE
24,3.0,1024,64,2.4517344757914543,5.220557097345591,FiRE
24,4.0,128,4,0.5171109437942505,1.1413572020828724,FiRE
24,4.0,128,8,0.518792387098074,1.0275764055550098,FiRE
24,4.0,128,16,0.5120309442281723,0.9648596420884132,FiRE
24,4.0,128,32,0.5103645697236061,0.9377557560801506,FiRE
24,4.0,128,64,0.5122220106422901,0.9104826375842094,FiRE
24,4.0,256,4,0.8287881538271904,2.06995415315032,FiRE
24,4.0,256,8,0.8294529132544994,1.836299367249012,FiRE
24,4.0,256,16,0.836209062486887,1.7508248537778854,FiRE
24,4.0,256,32,0.8456498123705387,1.6782291382551193,FiRE
24,4.0,256,64,0.828570332378149,1.6299184709787369,FiRE
24,4.0,512,4,1.4595209434628487,3.9794592820107937,FiRE
24,4.0,512,8,1.450866911560297,3.470127072185278,FiRE
24,4.0,512,16,1.4531360529363155,3.2759465500712395,FiRE
24,4.0,512,32,1.4484311193227768,3.1252899281680584,FiRE
24,4.0,512,64,1.4471259340643883,3.051692333072424,FiRE
24,4.0,1024,4,2.689681999385357,7.946380294859409,FiRE
24,4.0,1024,8,2.732729285955429,7.051656298339367,FiRE
24,4.0,1024,16,2.7003819830715656,6.518323563039303,FiRE
24,4.0,1024,32,2.707964587956667,6.192326162010431,FiRE
24,4.0,1024,64,2.7143728844821453,5.996538583189249,FiRE
24,5.0,128,4,0.5519126318395138,1.2587610632181168,FiRE
24,5.0,128,8,0.5583494007587433,1.1400853544473648,FiRE
24,5.0,256,4,0.9067576825618744,2.330857202410698,FiRE
24,5.0,256,8,0.9057031571865082,2.0635547265410423,FiRE
24,5.0,512,4,1.5958575122058392,4.44146953523159,FiRE
24,5.0,512,8,1.6200200021266937,3.942251041531563,FiRE
24,5.0,1024,4,2.973346456885338,8.753445882350206,FiRE
24,5.0,1024,8,2.996690895408392,7.7241458632051945,FiRE
24,7.0,128,4,0.6696415059268475,1.542948056012392,FiRE
24,7.0,128,8,0.6592906638979912,1.379138071089983,FiRE
24,7.0,256,4,1.1306914314627647,2.8684478513896465,FiRE
24,7.0,256,8,1.1129094623029232,2.5428833439946175,FiRE
24,7.0,512,4,1.9996817372739315,5.654375463724136,FiRE
24,7.0,512,8,1.8563598841428757,4.885618481785059,FiRE
24,7.0,1024,4,3.8911017030477524,11.218465197831392,FiRE
24,7.0,1024,8,3.863966628909111,10.003564175218344,FiRE
25,3.0,128,8,0.48471858352422714,0.9250688441097736,FiRE
25,3.0,128,16,0.4910510182380676,0.8889382183551788,FiRE
25,3.0,128,32,0.491459883749485,0.8648109138011932,FiRE
25,3.0,128,64,0.4918307475745678,0.8416590690612793,FiRE
25,3.0,256,8,0.8102106489241123,1.6942527256906033,FiRE
25,3.0,256,16,0.7571328543126583,1.5540677458047867,FiRE
25,3.0,256,32,0.8109678477048874,1.5693786852061749,FiRE
25,3.0,256,64,0.816364947706461,1.5070308707654476,FiRE
25,3.0,512,8,1.3927032835781574,3.139475177973509,FiRE
25,3.0,512,16,1.3997243717312813,3.005869746208191,FiRE
25,3.0,512,32,1.4031051397323608,2.8568154089152813,FiRE
25,3.0,512,64,1.4076208397746086,2.763532217592001,FiRE
25,3.0,1024,8,2.6015170216560364,6.166007913649082,FiRE
25,3.0,1024,16,2.639098431915045,5.932270750403404,FiRE
25,3.0,1024,32,2.6100909523665905,5.64754930883646,FiRE
25,3.0,1024,64,2.6006855592131615,5.505196999758482,FiRE
25,4.0,128,4,0.5415774807333946,1.1961293704807758,FiRE
25,4.0,128,8,0.5484351515769958,1.0732184648513794,FiRE
